priority,status,score,entity_id,entity_type,canonical_name,description_words,connected_statements,required_statements,evidenced_statements,gaps
P2,substantial,91.2,01a01016-ea4e-7f61-a75b-aff9632d7d7a,vehicle,Porsche 917 K,73,3,4,3,connected_statements<4
P2,substantial,82.5,01a01016-ea4e-7dca-85dc-5ad613f80bea,vehicle,Porsche 917 LH,42,2,4,2,connected_statements<4
P2,substantial,82.5,01a01016-ea4e-7bee-8617-228ced532a8e,vehicle,Porsche 917/10,48,2,4,2,connected_statements<4
P2,substantial,82.5,01a01016-ea4e-77a7-8575-557f6ab94b97,vehicle,Porsche 917/30,48,2,4,2,connected_statements<4
P4,catalog,0,91c80843-fc35-7f72-94f2-1ebd4f62d7f8,vehicle,Porsche 918 Spyder Concept,23,0,4,0,editorial_promotion_required
P4,catalog,0,ac15a19a-034f-7196-a4fb-15a463ba1b70,vehicle,Porsche 989,30,0,4,0,editorial_promotion_required
P4,catalog,0,7d01f2b5-e283-7c27-9fbd-380c3b251a86,vehicle,Porsche Mission E,25,0,4,0,editorial_promotion_required
P2,substantial,82.5,01a01016-ea4d-7b60-be4e-3a92caa480ea,vehicle,Porsche Type 754 T7,47,2,4,2,connected_statements<4
P3,complete,100.0,578dd9f4-7eff-753d-9d65-81e70fbe895b,vehicle,Puffing Devil,39,4,4,4,
P3,complete,100.0,01a010d9-28c8-762a-9025-da1a0c171c24,vehicle,Renault Espace — First Generation,72,4,4,4,
P4,catalog,0,fad2cba9-ac99-7ff3-853f-3565587d68a7,vehicle,Renault Scénic Concept,23,0,4,0,editorial_promotion_required
P2,substantial,91.2,01a0102f-0747-7a09-96ad-67d528294ef0,vehicle,Renault Type A,71,3,4,3,connected_statements<4
P2,substantial,82.5,01a01031-ec5a-7b84-a0a9-8961713832b6,vehicle,Renault Type AG1 taxi,59,2,4,2,connected_statements<4
P2,substantial,82.5,01a01031-ec56-74ed-85cd-19f117781c2c,vehicle,Renault Type AK Grand Prix,57,2,4,2,connected_statements<4
P2,substantial,82.5,01a0102a-57ea-763a-bea0-28163288f550,vehicle,Rolls-Royce 10 H.P.,49,2,4,2,connected_statements<4
P3,complete,100.0,01a01030-3316-7ce0-8ad2-168f6bfb1f42,vehicle,Rolls-Royce 40/50 H.P.,79,4,4,4,
P2,substantial,82.5,01a0102a-57ea-7e52-9674-4056cba82d9b,vehicle,Royce 10 H.P.,56,2,4,2,connected_statements<4
P4,catalog,0,5e36e5a4-f8dc-7523-b795-1129725b31f5,vehicle,Schlörwagen,43,0,4,0,editorial_promotion_required
P2,substantial,91.2,573faa70-3562-7632-b052-8b85bd262412,vehicle,Segundo automóvel de Marcus,33,3,4,3,connected_statements<4
P3,complete,100.0,01a01028-5459-7ef2-af1e-84a6202bba0a,vehicle,Subaru BRZ,80,4,4,4,
P3,complete,100,01a01028-5448-7307-a972-6d98594b95a7,vehicle,Tata Nano,84,5,4,5,
P3,complete,100.0,01a010d9-28c9-72dd-ab9d-8d2433e4c51c,vehicle,Tesla Roadster — First Generation,80,4,4,4,
P3,complete,100.0,01a01028-5444-767e-bd0e-dc4ce10424e9,vehicle,Toyoda Model AA,73,4,4,4,
P3,complete,100.0,01a01028-5459-7dd9-a0d5-a9cd1065d870,vehicle,Toyota 86,76,4,4,4,
P2,substantial,82.5,01a010d9-28c5-7418-9ce7-bccab4df9cea,vehicle,Toyota Jeep BJ / Land Cruiser BJ,59,2,4,2,connected_statements<4
